,Daily_Active_Time,In_Game_Currency_Earned,Purchase_History,Time_of_Purchase,Churn_Rate,In_Game_Purchases,Discount_Utilization,Quest_Completion_Rate
6055,1.4011271189737695,117,0,0,0.01664468575850402,16.012156159885762,3,0.6624060734188526
4945,2.73,859,4,3,0.02,38.13,2,0.8
2531,2.57,914,2,3,0.07,65.71,5,1.0
848,2.41,424,0,2,0.03,18.79,1,0.78
2865,0.97,432,1,3,0.03,72.27,6,0.86
3007,2.16,650,4,3,0.07,83.07,9,0.93
4546,2.7,918,3,2,0.1,86.44,9,0.91
3624,1.71,406,0,2,0.04,85.22,5,0.81
47,2.22,187,0,2,0.0,5.44,2,0.98
6608,1.7223512755986163,505,0,0,0.004249291808913921,35.46725212884656,4,0.8396317278153178
1350,2.36,708,2,1,0.01,46.62,3,0.93
5244,2.507826757383137,697,0,2,0.029178768791968058,32.66333221819541,5,0.6241642462416064
446,2.2,925,0,0,0.05,91.57,7,0.97
1743,2.15,362,3,2,0.08,78.1,2,0.87
4048,0.97,459,2,0,0.07,55.82,4,0.71
4320,1.48,967,3,1,0.07,31.85,0,0.67
2929,1.78,800,0,1,0.0,69.07,8,0.59
5891,2.2202672734524356,397,1,0,0.07730625582728376,35.91699696307813,1,0.8366328197841046
2586,1.17,920,1,2,0.1,52.46,8,0.85
3715,0.94,745,1,3,0.09,51.4,7,0.58
1294,1.46,994,0,1,0.04,47.12,8,0.75
3323,1.98,496,4,3,0.06,29.06,6,0.74
3758,2.63,933,2,1,0.03,41.91,4,0.57
6513,1.5748986416342188,921,1,0,0.08084714418177771,43.1530030551285,1,0.755930009272444
4979,2.46,689,0,1,0.05,56.22,2,0.64
5499,2.0063453069919137,295,0,0,0.09161883492683165,6.8509371540160755,2,0.563746634373977
1112,1.65,216,3,0,0.07,4.99,7,0.72
776,1.89,276,3,1,0.03,22.57,7,0.82
6591,2.881179906173168,191,0,2,0.08534158874078017,8.835348609964768,0,0.7951551399508275
4731,2.13,496,1,2,0.08,68.22,0,0.86
2887,1.84,774,1,2,0.02,93.48,6,0.62
5518,2.4418436029676456,500,1,0,0.025558648887132787,25.756535513938267,1,0.6281563970323542
4936,2.84,138,3,3,0.03,70.07,1,0.94
3352,2.1,128,1,1,0.07,86.27,4,0.78
1851,1.76,789,1,1,0.07,87.95,1,0.64
1963,1.76,213,1,0,0.05,20.42,3,0.78
2596,1.77,359,3,3,0.1,67.16,0,0.93
3856,2.79,819,2,3,0.07,24.73,0,0.63
2955,1.48,674,1,2,0.03,0.89,6,0.97
485,1.57,199,2,2,0.02,0.12,8,0.54
3653,0.78,717,4,1,0.05,71.37,8,0.55
5916,1.934211561761213,461,1,1,0.08,24.154439945947143,8,0.756578515932828
30,1.7,700,1,1,0.03,81.62,7,0.89
1879,1.92,510,2,1,0.1,31.35,9,0.96
5061,2.978639106786364,236,0,3,0.03,24.786311438141936,6,0.851446277938293
6010,1.8395892217309098,111,0,2,0.06730056861506495,16.838683314815587,7,0.7264826699490908
2860,1.58,309,3,2,0.02,72.64,8,0.69
4756,2.3,764,0,3,0.02,69.45,7,0.99
3238,1.78,918,3,1,0.08,68.01,2,0.51
