,Session_Duration,Daily_Active_Time,Login_Frequency,Level_Progression,In_Game_Currency_Earned,In_Game_Currency_Spent,Achievement_Unlocks,Social_Interactions,Friends_Added,Guild_Participation,Purchase_History,Game_Mode_Preferences,Event_Participation,Item_Usage,Time_of_Purchase,Retention_Rate,Churn_Rate,Referral_Activity,Customization_Preferences,Ad_Engagement,Device_Type,Geographic_Location,Demographic_Age,Demographic_Gender,In_Game_Purchases,Favorite_Items,Discount_Utilization,Promotion_Response,Quest_Completion_Rate,Battle_Participation,Leaderboard_Position,Player_Engagement_Level,Purchase_Likelihood
0,33.78,1.52,11,5,766,259,3,18,8,3,4,0,0,5,3,28,0.05,1,9,4,2,167,44,0,48.18,3,6,8,0.58,3,31.8,0,1
1,39.14,2.51,11,3,686,320,1,23,2,3,0,1,3,17,3,10,0.08,4,0,3,0,161,48,0,70.73,1,9,6,0.99,15,79.81,0,1
2,47.21,2.3,10,5,460,209,0,23,0,3,1,1,4,17,2,25,0.06,3,5,6,3,114,59,1,38.58,0,1,2,0.74,14,92.27,0,0
3,46.36,1.83,17,9,894,672,3,11,1,0,1,1,3,4,2,27,0.0,3,7,3,1,210,35,1,76.67,1,0,5,0.66,16,61.94,0,1
4,39.76,2.29,14,6,152,444,2,40,0,4,2,1,4,1,2,3,0.08,1,5,8,2,230,22,1,25.42,2,4,9,0.58,17,79.8,0,0
5,33.06,2.33,18,13,951,608,2,1,6,1,3,0,3,12,0,4,0.06,0,1,7,3,203,58,0,40.89,1,8,0,0.62,0,11.82,0,1
6,30.65,1.94,16,9,597,428,1,15,2,2,1,0,4,14,2,15,0.01,3,5,4,3,161,37,1,71.1,3,3,9,0.6,6,70.78,0,1
7,34.67,2.39,7,11,261,243,9,9,7,3,1,0,1,7,2,11,0.02,3,8,2,1,125,31,1,73.43,0,0,1,0.61,1,1.28,0,1
8,53.35,1.73,12,1,728,580,5,25,1,0,4,1,3,6,2,30,0.06,1,7,8,3,160,48,0,76.36,1,4,9,0.82,8,95.55,0,1
9,42.87,2.35,15,7,236,743,3,28,7,3,4,1,1,18,2,4,0.01,1,7,8,0,5,58,1,43.84,2,2,7,0.93,1,39.41,0,1
