Session_Duration,Daily_Active_Time,Login_Frequency,Level_Progression,In_Game_Currency_Earned,In_Game_Currency_Spent,Achievement_Unlocks,Social_Interactions,Friends_Added,Guild_Participation,Purchase_History,Game_Mode_Preferences,Event_Participation,Item_Usage,Time_of_Purchase,Retention_Rate,Churn_Rate,Referral_Activity,Customization_Preferences,Ad_Engagement,Device_Type,Geographic_Location,Demographic_Age,Demographic_Gender,In_Game_Purchases,Favorite_Items,Discount_Utilization,Promotion_Response,Quest_Completion_Rate,Battle_Participation,Leaderboard_Position,Player_Engagement_Level,Purchase_Likelihood
33.78,1.52,11,5,766,259,3,18,8,3,4,Multiplayer,0,5,Night,28,0.05,1,9,4,Smartphone,Panama,44,Female,48.18,Weapon,6,8,0.58,3,31.8,0,1
39.14,2.51,11,3,686,320,1,23,2,3,0,Singleplayer,3,17,Night,10,0.08,4,0,3,Console,Northern Mariana Islands,48,Female,70.73,Boost,9,6,0.99,15,79.81,0,1
47.21,2.3,10,5,460,209,0,23,0,3,1,Singleplayer,4,17,Morning,25,0.06,3,5,6,Tablet,Korea,59,Male,38.58,Armor,1,2,0.74,14,92.27,0,0
46.36,1.83,17,9,894,672,3,11,1,0,1,Singleplayer,3,4,Morning,27,0.0,3,7,3,PC,Switzerland,35,Male,76.67,Boost,0,5,0.66,16,61.94,0,1
39.76,2.29,14,6,152,444,2,40,0,4,2,Singleplayer,4,1,Morning,3,0.08,1,5,8,Smartphone,United States Minor Outlying Islands,22,Male,25.42,Potion,4,9,0.58,17,79.8,0,0
33.06,2.33,18,13,951,608,2,1,6,1,3,Multiplayer,3,12,Afternoon,4,0.06,0,1,7,Tablet,Spain,58,Female,40.89,Boost,8,0,0.62,0,11.82,0,1
30.65,1.94,16,9,597,428,1,15,2,2,1,Multiplayer,4,14,Morning,15,0.01,3,5,4,Tablet,Northern Mariana Islands,37,Male,71.1,Weapon,3,9,0.6,6,70.78,0,1
34.67,2.39,7,11,261,243,9,9,7,3,1,Multiplayer,1,7,Morning,11,0.02,3,8,2,PC,Luxembourg,31,Male,73.43,Armor,0,1,0.61,1,1.28,0,1
53.35,1.73,12,1,728,580,5,25,1,0,4,Singleplayer,3,6,Morning,30,0.06,1,7,8,Tablet,Norfolk Island,48,Female,76.36,Boost,4,9,0.82,8,95.55,0,1
42.87,2.35,15,7,236,743,3,28,7,3,4,Singleplayer,1,18,Morning,4,0.01,1,7,8,Console,Angola,58,Male,43.84,Potion,2,7,0.93,1,39.41,0,1
47.22,1.96,13,4,275,272,0,19,0,0,3,Multiplayer,3,4,Morning,20,0.05,2,9,0,Smartphone,Vanuatu,28,Male,72.49,Weapon,7,9,0.72,8,13.0,0,1
35.42,1.94,9,11,442,637,7,48,4,3,4,Singleplayer,1,10,Night,10,0.04,4,7,8,PC,Antigua and Barbuda,50,Male,69.68,Potion,1,2,0.66,4,19.73,0,1
59.55,2.6,13,1,741,657,6,19,5,3,4,Singleplayer,4,4,Evening,2,0.09,3,1,0,Smartphone,British Indian Ocean Territory (Chagos Archipelago),52,Male,40.82,Weapon,2,3,0.76,14,82.27,0,1
39.2,1.63,7,9,805,460,1,35,3,3,4,Singleplayer,4,17,Night,22,0.07,3,3,8,Console,New Zealand,27,Male,62.88,Armor,3,1,0.52,0,28.78,0,1
42.27,1.55,8,8,744,99,0,7,4,0,0,Singleplayer,0,11,Afternoon,6,0.0,4,0,8,Tablet,Bahamas,29,Female,28.6,Armor,2,2,0.93,0,47.84,0,0
51.96,1.64,16,4,188,284,7,38,9,0,1,Singleplayer,0,2,Night,5,0.03,2,8,6,Smartphone,Nauru,52,Male,61.23,Weapon,6,2,0.8,11,52.93,0,1
56.93,2.52,15,14,381,642,6,45,4,2,3,Multiplayer,0,6,Night,23,0.01,2,3,4,Console,Cambodia,20,Male,61.8,Potion,7,0,0.96,15,10.66,1,1
48.29,2.47,10,13,559,674,6,48,9,1,4,Singleplayer,1,17,Evening,20,0.05,0,6,8,PC,Estonia,31,Female,96.56,Potion,2,7,0.92,9,79.52,0,1
49.31,2.4,20,13,440,544,0,36,0,1,3,Multiplayer,4,1,Evening,29,0.04,2,9,2,Console,Tuvalu,27,Male,77.01,Potion,1,5,0.7,10,68.56,1,1
52.67,1.77,12,14,467,590,4,30,2,4,2,Singleplayer,4,13,Evening,5,0.05,4,3,6,Console,Burkina Faso,37,Female,54.82,Armor,4,0,0.61,18,82.12,0,1
49.93,2.25,7,10,595,709,3,32,3,0,3,Singleplayer,1,7,Morning,15,0.1,4,4,1,PC,Guernsey,34,Male,90.31,Weapon,3,3,0.94,13,67.1,0,1
55.46,1.92,10,7,278,497,7,45,6,2,3,Singleplayer,0,15,Afternoon,14,0.1,3,3,5,Console,Ethiopia,26,Female,35.28,Armor,8,5,0.76,15,15.17,0,1
36.03,1.77,11,10,356,252,4,10,7,4,0,Singleplayer,1,8,Afternoon,9,0.0,0,0,5,PC,Monaco,27,Male,70.36,Armor,6,4,0.74,1,59.97,0,1
